"Cohorte","Ano","Ambos sexos","Hombre","Mujer"
"Anterior a 1980","2018",541,398,143
"Anterior a 1980","2019",536,394,142
"Anterior a 1980","2020",575,405,170
"Anterior a 1980","2021",596,423,173
"Anterior a 1980","2022",600,418,182
"Anterior a 1980","2023",514,356,158
"Anterior a 1980","2024",516,379,137
"Anterior a 1980","2025",459,306,153
"1980 - 1989","2018",2929,2040,889
"1980 - 1989","2019",3022,2092,930
"1980 - 1989","2020",3061,2084,977
"1980 - 1989","2021",3467,2451,1016
"1980 - 1989","2022",3170,2233,937
"1980 - 1989","2023",2942,2065,877
"1980 - 1989","2024",2726,1943,783
"1980 - 1989","2025",2438,1697,741
"1990 - 1999","2018",4344,2557,1787
"1990 - 1999","2019",4629,2693,1936
"1990 - 1999","2020",5070,2939,2131
"1990 - 1999","2021",5656,3183,2473
"1990 - 1999","2022",5525,3157,2368
"1990 - 1999","2023",5156,2989,2167
"1990 - 1999","2024",5084,2945,2139
"1990 - 1999","2025",4485,2615,1870
"2000 - 2009","2018",4639,2501,2138
"2000 - 2009","2019",4637,2519,2118
"2000 - 2009","2020",5238,2848,2390
"2000 - 2009","2021",5942,3242,2700
"2000 - 2009","2022",6048,3273,2775
"2000 - 2009","2023",5448,2927,2521
"2000 - 2009","2024",5571,2965,2606
"2000 - 2009","2025",5086,2674,2412
"2010 - 2019","2018",2886,1429,1457
"2010 - 2019","2019",3355,1744,1611
"2010 - 2019","2020",3881,1994,1887
"2010 - 2019","2021",4358,2304,2054
"2010 - 2019","2022",4643,2326,2317
"2010 - 2019","2023",4587,2376,2211
"2010 - 2019","2024",4590,2350,2240
"2010 - 2019","2025",4286,2200,2086
"2020 - Actualidad","2020",280,132,148
"2020 - Actualidad","2021",464,213,251
"2020 - Actualidad","2022",735,377,358
"2020 - Actualidad","2023",905,445,460
"2020 - Actualidad","2024",1183,619,564
"2020 - Actualidad","2025",1225,579,646
