"Facultad","Ano","Ambos sexos","Hombre","Mujer"
"Bellas Artes","2018",1.87179487179487,1.58620689655172,2.04081632653061
"Bellas Artes","2019",2.42682926829268,2.25,2.54
"Bellas Artes","2020",2.45744680851064,2.27777777777778,2.56896551724138
"Bellas Artes","2021",2.51546391752577,2.44736842105263,2.5593220338983
"Bellas Artes","2022",3.24444444444444,3,3.36666666666667
"Bellas Artes","2023",3.08653846153846,3.08823529411765,3.08571428571429
"Bellas Artes","2024",2.99090909090909,2.97560975609756,3
"Bellas Artes","2025",2.78723404255319,2.78787878787879,2.78688524590164
"Ciencias Biológicas","2018",2.91370558375635,3.27472527472527,2.60377358490566
"Ciencias Biológicas","2019",2.72131147540984,3.01190476190476,2.47474747474747
"Ciencias Biológicas","2020",3.13131313131313,3.48936170212766,2.80769230769231
"Ciencias Biológicas","2021",3.02912621359223,3.34313725490196,2.72115384615385
"Ciencias Biológicas","2022",2.89150943396226,3.31067961165049,2.4954128440367
"Ciencias Biológicas","2023",3.06034482758621,3.53153153153153,2.62809917355372
"Ciencias Biológicas","2024",2.99095022624434,3.4,2.58558558558559
"Ciencias Biológicas","2025",3.0316742081448,3.44230769230769,2.66666666666667
"Ciencias Económicas y Empresariales","2018",2.66844919786096,3.00952380952381,2.23170731707317
"Ciencias Económicas y Empresariales","2019",2.79891304347826,3.06060606060606,2.49411764705882
"Ciencias Económicas y Empresariales","2020",2.97584541062802,3.33613445378151,2.48863636363636
"Ciencias Económicas y Empresariales","2021",3.18226600985222,3.33928571428571,2.98901098901099
"Ciencias Económicas y Empresariales","2022",3.15183246073298,3.24509803921569,3.04494382022472
"Ciencias Económicas y Empresariales","2023",2.98029556650246,3.0990990990991,2.83695652173913
"Ciencias Económicas y Empresariales","2024",3.58375634517766,3.85981308411215,3.25555555555556
"Ciencias Económicas y Empresariales","2025",3.18226600985222,3.45945945945946,2.84782608695652
"Ciencias Físicas","2018",4.36,4.59558823529412,3.859375
"Ciencias Físicas","2019",4.62105263157895,4.79527559055118,4.26984126984127
"Ciencias Físicas","2020",4.27669902912621,4.56521739130435,3.69117647058824
"Ciencias Físicas","2021",4.52830188679245,4.72222222222222,4.11764705882353
"Ciencias Físicas","2022",5.80357142857143,6.70512820512821,3.73529411764706
"Ciencias Físicas","2023",4.34210526315789,4.5031847133758,3.98591549295775
"Ciencias Físicas","2024",5.72146118721461,6.19480519480519,4.6
"Ciencias Físicas","2025",4.91549295774648,5.13103448275862,4.45588235294118
"Ciencias Geológicas","2018",3.33928571428571,3.61538461538462,2.95744680851064
"Ciencias Geológicas","2019",3.59821428571429,4.11475409836066,2.98039215686275
"Ciencias Geológicas","2020",3.0462962962963,3.52542372881356,2.46938775510204
"Ciencias Geológicas","2021",4.70689655172414,5.796875,3.36538461538462
"Ciencias Geológicas","2022",3.51818181818182,3.85483870967742,3.08333333333333
"Ciencias Geológicas","2023",3.09090909090909,3.33333333333333,2.71794871794872
"Ciencias Geológicas","2024",4.60683760683761,5.31818181818182,3.68627450980392
"Ciencias Geológicas","2025",3.34862385321101,3.43333333333333,3.24489795918367
"Ciencias Matemáticas","2018",3.24210526315789,3.55882352941176,2.44444444444444
"Ciencias Matemáticas","2019",2.81521739130435,3.04477611940298,2.2
"Ciencias Matemáticas","2020",2.72277227722772,2.63380281690141,2.93333333333333
"Ciencias Matemáticas","2021",2.95505617977528,3.05,2.75862068965517
"Ciencias Matemáticas","2022",3.63157894736842,4.05769230769231,2.70833333333333
"Ciencias Matemáticas","2023",2.72826086956522,2.88709677419355,2.4
"Ciencias Matemáticas","2024",2.875,2.66071428571429,3.375
"Ciencias Matemáticas","2025",2.2680412371134,2.39393939393939,2
"Ciencias Políticas y Sociología","2018",2.92576419213974,3.30081300813008,2.49056603773585
"Ciencias Políticas y Sociología","2019",2.78137651821862,3.1231884057971,2.34862385321101
"Ciencias Políticas y Sociología","2020",3.17647058823529,3.44604316546763,2.85344827586207
"Ciencias Políticas y Sociología","2021",3.28148148148148,3.52348993288591,2.98347107438017
"Ciencias Políticas y Sociología","2022",3.21428571428571,3.19753086419753,3.23728813559322
"Ciencias Políticas y Sociología","2023",3.30483271375465,3.6158940397351,2.90677966101695
"Ciencias Políticas y Sociología","2024",3.58208955223881,4.01298701298701,3
