"Categoria","Ano","Ambos sexos","Hombre","Mujer"
"Catedrático/a (Univ. y Esc. Univ.)","2018",5.17868338557994,5.66666666666667,4.36401673640167
"Catedrático/a (Univ. y Esc. Univ.)","2019",5.44031007751938,6.07196029776675,4.38842975206612
"Catedrático/a (Univ. y Esc. Univ.)","2020",5.73405909797823,6.21890547263682,4.9253112033195
"Catedrático/a (Univ. y Esc. Univ.)","2021",6.09612403100775,6.67574257425743,5.12448132780083
"Catedrático/a (Univ. y Esc. Univ.)","2022",6.09856915739269,6.80352644836272,4.89224137931035
"Catedrático/a (Univ. y Esc. Univ.)","2023",5.71014492753623,6.38265306122449,4.5589519650655
"Catedrático/a (Univ. y Esc. Univ.)","2024",5.7327868852459,6.56763925729443,4.38197424892704
"Catedrático/a (Univ. y Esc. Univ.)","2025",5.32558139534884,5.88947368421053,4.36036036036036
"Investigador/a Contratado/a","2018",3.75757575757576,4.28301886792453,1.61538461538462
"Investigador/a Contratado/a","2019",3.14814814814815,3.3768115942029,1.83333333333333
"Investigador/a Contratado/a","2020",3.41237113402062,3.75641025641026,2
"Investigador/a Contratado/a","2021",3.45192307692308,3.83333333333333,1.85
"Investigador/a Contratado/a","2022",3.89075630252101,4.54945054945055,1.75
"Investigador/a Contratado/a","2023",3.16153846153846,3.71134020618557,1.54545454545455
"Investigador/a Contratado/a","2024",3.38059701492537,3.83177570093458,1.59259259259259
"Investigador/a Contratado/a","2025",3.35555555555556,3.55963302752294,2.5
"Investigador/a Postdoctoral","2018",2.79381443298969,3.24074074074074,2.23255813953488
"Investigador/a Postdoctoral","2019",3.56701030927835,4.39622641509434,2.56818181818182
"Investigador/a Postdoctoral","2020",3.64485981308411,4.2,2.93617021276596
"Investigador/a Postdoctoral","2021",3.94174757281553,4.55555555555556,3.26530612244898
"Investigador/a Postdoctoral","2022",3.85858585858586,4.31481481481481,3.31111111111111
"Investigador/a Postdoctoral","2023",4.09259259259259,4.55932203389831,3.53061224489796
"Investigador/a Postdoctoral","2024",4.03921568627451,4.43636363636364,3.57446808510638
"Investigador/a Postdoctoral","2025",4.25,4.96551724137931,3.34782608695652
"Investigador/a Predoctoral","2018",1.94736842105263,1.6,2.33333333333333
"Investigador/a Predoctoral","2019",1.59259259259259,1.53333333333333,1.66666666666667
"Investigador/a Predoctoral","2020",1.48148148148148,1.48148148148148,1.48148148148148
"Investigador/a Predoctoral","2021",1.77777777777778,1.84615384615385,1.72549019607843
"Investigador/a Predoctoral","2022",2.28688524590164,2.46428571428571,2.13636363636364
"Investigador/a Predoctoral","2023",2.37037037037037,2.50649350649351,2.24705882352941
"Investigador/a Predoctoral","2024",2.71122994652406,2.81052631578947,2.60869565217391
"Investigador/a Predoctoral","2025",2.7363184079602,2.71739130434783,2.75229357798165
"Otras Figuras y Categorías Especiales","2018",2.72463768115942,2.33898305084746,2.7887323943662
"Otras Figuras y Categorías Especiales","2019",2.64285714285714,2.32786885245902,2.69637883008357
"Otras Figuras y Categorías Especiales","2020",2.92906178489703,2.61904761904762,2.98128342245989
"Otras Figuras y Categorías Especiales","2021",2.95991561181435,2.67123287671233,3.01246882793017
"Otras Figuras y Categorías Especiales","2022",3.06952965235174,2.51162790697674,3.18858560794045
"Otras Figuras y Categorías Especiales","2023",2.89008620689655,2.32926829268293,3.01047120418848
