"Cohorte","Ano","Ambos sexos","Hombre","Mujer"
"Anterior a 1980","2018",483,358,125
"Anterior a 1980","2019",479,350,129
"Anterior a 1980","2020",518,360,158
"Anterior a 1980","2021",540,377,163
"Anterior a 1980","2022",564,392,172
"Anterior a 1980","2023",482,331,151
"Anterior a 1980","2024",475,351,124
"Anterior a 1980","2025",437,291,146
"1980 - 1989","2018",2616,1806,810
"1980 - 1989","2019",2659,1848,811
"1980 - 1989","2020",2714,1839,875
"1980 - 1989","2021",2987,2089,898
"1980 - 1989","2022",2787,1961,826
"1980 - 1989","2023",2588,1817,771
"1980 - 1989","2024",2483,1767,716
"1980 - 1989","2025",2234,1565,669
"1990 - 1999","2018",3973,2319,1654
"1990 - 1999","2019",4261,2461,1800
"1990 - 1999","2020",4661,2694,1967
"1990 - 1999","2021",5136,2846,2290
"1990 - 1999","2022",5100,2917,2183
"1990 - 1999","2023",4701,2710,1991
"1990 - 1999","2024",4648,2699,1949
"1990 - 1999","2025",4167,2444,1723
"2000 - 2009","2018",4165,2174,1991
"2000 - 2009","2019",4176,2229,1947
"2000 - 2009","2020",4764,2552,2212
"2000 - 2009","2021",5342,2847,2495
"2000 - 2009","2022",5483,2898,2585
"2000 - 2009","2023",4928,2591,2337
"2000 - 2009","2024",5083,2684,2399
"2000 - 2009","2025",4695,2419,2276
"2010 - 2019","2018",2617,1270,1347
"2010 - 2019","2019",3044,1545,1499
"2010 - 2019","2020",3534,1795,1739
"2010 - 2019","2021",3919,2049,1870
"2010 - 2019","2022",4251,2083,2168
"2010 - 2019","2023",4184,2110,2074
"2010 - 2019","2024",4210,2093,2117
"2010 - 2019","2025",3994,1997,1997
"2020 - Actualidad","2020",258,118,140
"2020 - Actualidad","2021",436,191,245
"2020 - Actualidad","2022",686,345,341
"2020 - Actualidad","2023",863,421,442
"2020 - Actualidad","2024",1141,597,544
"2020 - Actualidad","2025",1194,575,619
