"","Facultad","Ano","Ambos sexos","Hombre","Mujer"
"1","Bellas Artes","2018",145,45,100
"2","Bellas Artes","2019",201,71,130
"3","Bellas Artes","2020",229,76,153
"4","Bellas Artes","2021",243,91,152
"5","Bellas Artes","2022",291,89,202
"6","Bellas Artes","2023",322,105,217
"7","Bellas Artes","2024",329,120,209
"8","Bellas Artes","2025",252,91,161
"9","Ciencias Biológicas","2018",574,298,276
"10","Ciencias Biológicas","2019",498,253,245
"11","Ciencias Biológicas","2020",620,328,292
"12","Ciencias Biológicas","2021",622,340,282
"13","Ciencias Biológicas","2022",613,341,272
"14","Ciencias Biológicas","2023",707,389,318
"15","Ciencias Biológicas","2024",660,374,286
"16","Ciencias Biológicas","2025",662,352,310
"17","Ciencias Económicas y Empresariales","2018",498,316,182
"18","Ciencias Económicas y Empresariales","2019",522,305,217
"19","Ciencias Económicas y Empresariales","2020",620,398,222
"20","Ciencias Económicas y Empresariales","2021",644,370,274
"21","Ciencias Económicas y Empresariales","2022",610,338,272
"22","Ciencias Económicas y Empresariales","2023",620,355,265
"23","Ciencias Económicas y Empresariales","2024",704,413,291
"24","Ciencias Económicas y Empresariales","2025",625,365,260
"25","Ciencias Físicas","2018",874,630,244
"26","Ciencias Físicas","2019",892,623,269
"27","Ciencias Físicas","2020",889,638,251
"28","Ciencias Físicas","2021",972,692,280
"29","Ciencias Físicas","2022",1300,1046,254
"30","Ciencias Físicas","2023",990,707,283
"31","Ciencias Físicas","2024",1247,952,295
"32","Ciencias Físicas","2025",1044,743,301
"33","Ciencias Geológicas","2018",375,236,139
"34","Ciencias Geológicas","2019",401,249,152
"35","Ciencias Geológicas","2020",327,208,119
"36","Ciencias Geológicas","2021",546,371,175
"37","Ciencias Geológicas","2022",387,239,148
"38","Ciencias Geológicas","2023",304,198,106
"39","Ciencias Geológicas","2024",534,349,185
"40","Ciencias Geológicas","2025",347,199,148
"41","Ciencias Matemáticas","2018",307,241,66
"42","Ciencias Matemáticas","2019",257,202,55
"43","Ciencias Matemáticas","2020",274,186,88
"44","Ciencias Matemáticas","2021",263,183,80
"45","Ciencias Matemáticas","2022",274,209,65
"46","Ciencias Matemáticas","2023",249,177,72
"47","Ciencias Matemáticas","2024",230,149,81
"48","Ciencias Matemáticas","2025",217,156,61
"49","Ciencias Políticas y Sociología","2018",668,405,263
"50","Ciencias Políticas y Sociología","2019",688,433,255
"51","Ciencias Políticas y Sociología","2020",806,477,329
"52","Ciencias Políticas y Sociología","2021",887,529,358
"53","Ciencias Políticas y Sociología","2022",902,521,381
"54","Ciencias Políticas y Sociología","2023",890,552,338
"55","Ciencias Políticas y Sociología","2024",960,621,339
"56","Ciencias Políticas y Sociología","2025",852,531,321
"57","Ciencias Químicas","2018",968,560,408
"58","Ciencias Químicas","2019",1044,602,442
"59","Ciencias Químicas","2020",1137,675,462
"60","Ciencias Químicas","2021",1118,644,474
"61","Ciencias Químicas","2022",987,578,409
"62","Ciencias Químicas","2023",963,590,373
"63","Ciencias Químicas","2024",1029,609,420
"64","Ciencias Químicas","2025",1082,652,430
"65","Ciencias de la Documentación","2018",187,114,73
"66","Ciencias de la Documentación","2019",158,71,87
"67","Ciencias de la Documentación","2020",157,75,82
"68","Ciencias de la Documentación","2021",151,76,75
"69","Ciencias de la Documentación","2022",172,101,71
"70","Ciencias de la Documentación","2023",194,101,93
"71","Ciencias de la Documentación","2024",147,88,59
"72","Ciencias de la Documentación","2025",95,46,49
"73","Ciencias de la Información","2018",760,362,398
"74","Ciencias de la Información","2019",716,399,317
"75","Ciencias de la Información","2020",1047,555,492
"76","Ciencias de la Información","2021",1066,522,544
"77","Ciencias de la Información","2022",1216,579,637
"78","Ciencias de la Información","2023",1002,535,467
"79","Ciencias de la Información","2024",983,490,493
"80","Ciencias de la Información","2025",782,383,399
"81","Comercio y Turismo","2018",115,46,69
"82","Comercio y Turismo","2019",137,49,88
"83","Comercio y Turismo","2020",197,89,108
"84","Comercio y Turismo","2021",164,80,84
"85","Comercio y Turismo","2022",222,79,143
"86","Comercio y Turismo","2023",183,75,108
"87","Comercio y Turismo","2024",232,84,148
"88","Comercio y Turismo","2025",185,79,106
"89","Derecho","2018",872,542,330
"90","Derecho","2019",975,569,406
"91","Derecho","2020",1159,652,507
"92","Derecho","2021",1306,756,550
"93","Derecho","2022",1278,754,524
"94","Derecho","2023",1445,852,593
"95","Derecho","2024",1207,682,525
"96","Derecho","2025",976,535,441
"97","Educación-Centro Formación Profesor","2018",596,252,344
"98","Educación-Centro Formación Profesor","2019",655,275,380
"99","Educación-Centro Formación Profesor","2020",722,326,396
"100","Educación-Centro Formación Profesor","2021",953,438,515
"101","Educación-Centro Formación Profesor","2022",1065,402,663
"102","Educación-Centro Formación Profesor","2023",927,366,561
"103","Educación-Centro Formación Profesor","2024",1014,419,595
"104","Educación-Centro Formación Profesor","2025",861,370,491
"105","Enfermería, Fisioterapia y Podología","2018",365,225,140
"106","Enfermería, Fisioterapia y Podología","2019",410,242,168
"107","Enfermería, Fisioterapia y Podología","2020",405,246,159
"108","Enfermería, Fisioterapia y Podología","2021",477,261,216
"109","Enfermería, Fisioterapia y Podología","2022",581,364,217
"110","Enfermería, Fisioterapia y Podología","2023",562,344,218
"111","Enfermería, Fisioterapia y Podología","2024",577,352,225
