"","Facultad","Ano","Ambos sexos","Hombre","Mujer"
"1","Bellas Artes","2018",146,46,100
"2","Bellas Artes","2019",199,72,127
"3","Bellas Artes","2020",231,82,149
"4","Bellas Artes","2021",244,93,151
"5","Bellas Artes","2022",292,90,202
"6","Bellas Artes","2023",321,105,216
"7","Bellas Artes","2024",329,122,207
"8","Bellas Artes","2025",262,92,170
"9","Ciencias Biológicas","2018",574,298,276
"10","Ciencias Biológicas","2019",498,253,245
"11","Ciencias Biológicas","2020",620,328,292
"12","Ciencias Biológicas","2021",624,341,283
"13","Ciencias Biológicas","2022",613,341,272
"14","Ciencias Biológicas","2023",710,392,318
"15","Ciencias Biológicas","2024",661,374,287
"16","Ciencias Biológicas","2025",670,358,312
"17","Ciencias Económicas y Empresariales","2018",499,316,183
"18","Ciencias Económicas y Empresariales","2019",515,303,212
"19","Ciencias Económicas y Empresariales","2020",616,397,219
"20","Ciencias Económicas y Empresariales","2021",646,374,272
"21","Ciencias Económicas y Empresariales","2022",602,331,271
"22","Ciencias Económicas y Empresariales","2023",605,344,261
"23","Ciencias Económicas y Empresariales","2024",706,413,293
"24","Ciencias Económicas y Empresariales","2025",646,384,262
"25","Ciencias Físicas","2018",872,625,247
"26","Ciencias Físicas","2019",878,609,269
"27","Ciencias Físicas","2020",881,630,251
"28","Ciencias Físicas","2021",960,680,280
"29","Ciencias Físicas","2022",1300,1046,254
"30","Ciencias Físicas","2023",990,707,283
"31","Ciencias Físicas","2024",1253,954,299
"32","Ciencias Físicas","2025",1047,744,303
"33","Ciencias Geológicas","2018",374,235,139
"34","Ciencias Geológicas","2019",403,251,152
"35","Ciencias Geológicas","2020",329,208,121
"36","Ciencias Geológicas","2021",546,371,175
"37","Ciencias Geológicas","2022",387,239,148
"38","Ciencias Geológicas","2023",306,200,106
"39","Ciencias Geológicas","2024",539,351,188
"40","Ciencias Geológicas","2025",365,206,159
"41","Ciencias Matemáticas","2018",308,242,66
"42","Ciencias Matemáticas","2019",259,204,55
"43","Ciencias Matemáticas","2020",275,187,88
"44","Ciencias Matemáticas","2021",263,183,80
"45","Ciencias Matemáticas","2022",276,211,65
"46","Ciencias Matemáticas","2023",251,179,72
"47","Ciencias Matemáticas","2024",230,149,81
"48","Ciencias Matemáticas","2025",220,158,62
"49","Ciencias Políticas y Sociología","2018",670,406,264
"50","Ciencias Políticas y Sociología","2019",687,431,256
"51","Ciencias Políticas y Sociología","2020",810,479,331
"52","Ciencias Políticas y Sociología","2021",886,525,361
"53","Ciencias Políticas y Sociología","2022",900,518,382
"54","Ciencias Políticas y Sociología","2023",889,546,343
"55","Ciencias Políticas y Sociología","2024",960,618,342
"56","Ciencias Políticas y Sociología","2025",897,562,335
"57","Ciencias Químicas","2018",962,554,408
"58","Ciencias Químicas","2019",1039,596,443
"59","Ciencias Químicas","2020",1137,674,463
"60","Ciencias Químicas","2021",1116,642,474
"61","Ciencias Químicas","2022",988,576,412
"62","Ciencias Químicas","2023",958,584,374
"63","Ciencias Químicas","2024",1038,613,425
"64","Ciencias Químicas","2025",1084,650,434
"65","Ciencias de la Documentación","2018",187,114,73
"66","Ciencias de la Documentación","2019",158,71,87
"67","Ciencias de la Documentación","2020",157,75,82
"68","Ciencias de la Documentación","2021",152,77,75
"69","Ciencias de la Documentación","2022",172,101,71
"70","Ciencias de la Documentación","2023",196,103,93
"71","Ciencias de la Documentación","2024",149,90,59
"72","Ciencias de la Documentación","2025",104,52,52
"73","Ciencias de la Información","2018",765,363,402
"74","Ciencias de la Información","2019",717,399,318
"75","Ciencias de la Información","2020",1049,555,494
"76","Ciencias de la Información","2021",1072,524,548
"77","Ciencias de la Información","2022",1230,582,648
"78","Ciencias de la Información","2023",1011,541,470
"79","Ciencias de la Información","2024",989,491,498
"80","Ciencias de la Información","2025",816,406,410
"81","Comercio y Turismo","2018",116,46,70
"82","Comercio y Turismo","2019",135,48,87
"83","Comercio y Turismo","2020",197,89,108
"84","Comercio y Turismo","2021",164,80,84
"85","Comercio y Turismo","2022",221,77,144
"86","Comercio y Turismo","2023",182,74,108
"87","Comercio y Turismo","2024",228,80,148
"88","Comercio y Turismo","2025",192,81,111
"89","Derecho","2018",861,529,332
"90","Derecho","2019",960,569,391
"91","Derecho","2020",1152,646,506
"92","Derecho","2021",1284,734,550
"93","Derecho","2022",1260,744,516
"94","Derecho","2023",1450,856,594
"95","Derecho","2024",1238,693,545
"96","Derecho","2025",1031,571,460
"97","Educación-Centro Formación Profesor","2018",608,253,355
"98","Educación-Centro Formación Profesor","2019",665,278,387
"99","Educación-Centro Formación Profesor","2020",739,336,403
"100","Educación-Centro Formación Profesor","2021",967,441,526
"101","Educación-Centro Formación Profesor","2022",1073,409,664
"102","Educación-Centro Formación Profesor","2023",947,371,576
"103","Educación-Centro Formación Profesor","2024",1033,426,607
"104","Educación-Centro Formación Profesor","2025",893,389,504
"105","Enfermería, Fisioterapia y Podología","2018",367,225,142
"106","Enfermería, Fisioterapia y Podología","2019",405,242,163
"107","Enfermería, Fisioterapia y Podología","2020",402,246,156
"108","Enfermería, Fisioterapia y Podología","2021",466,261,205
"109","Enfermería, Fisioterapia y Podología","2022",577,364,213
"110","Enfermería, Fisioterapia y Podología","2023",551,344,207
"111","Enfermería, Fisioterapia y Podología","2024",574,355,219
"112","Enfermería, Fisioterapia y Podología","2025",501,292,209
"113","Estudios Estadísticos","2018",85,61,24
"114","Estudios Estadísticos","2019",77,54,23
"115","Estudios Estadísticos","2020",107,56,51
"116","Estudios Estadísticos","2021",101,66,35
"117","Estudios Estadísticos","2022",154,95,59
"118","Estudios Estadísticos","2023",135,75,60
"119","Estudios Estadísticos","2024",154,90,64
"120","Estudios Estadísticos","2025",142,72,70
"121","Farmacia","2018",838,307,531
"122","Farmacia","2019",853,333,520
"123","Farmacia","2020",998,362,636
"124","Farmacia","2021",967,378,589
"125","Farmacia","2022",1124,395,729
"126","Farmacia","2023",1031,332,699
"127","Farmacia","2024",984,339,645
"128","Farmacia","2025",888,266,622
"129","Filología","2018",673,340,333
"130","Filología","2019",889,489,400
"131","Filología","2020",892,461,431
"132","Filología","2021",894,459,435
"133","Filología","2022",919,449,470
"134","Filología","2023",896,455,441
"135","Filología","2024",923,438,485
"136","Filología","2025",741,392,349
"137","Filosofía","2018",81,45,36
"138","Filosofía","2019",60,41,19
"139","Filosofía","2020",66,42,24
"140","Filosofía","2021",91,57,34
"141","Filosofía","2022",83,52,31
"142","Filosofía","2023",83,51,32
"143","Filosofía","2024",89,61,28
"144","Filosofía","2025",68,43,25
"145","Geografía e Historia","2018",626,386,240
"146","Geografía e Historia","2019",705,437,268
"147","Geografía e Historia","2020",611,372,239
"148","Geografía e Historia","2021",721,438,283
"149","Geografía e Historia","2022",755,473,282
"150","Geografía e Historia","2023",672,392,280
"151","Geografía e Historia","2024",611,367,244
"152","Geografía e Historia","2025",540,305,235
"153","Informática","2018",181,170,11
"154","Informática","2019",152,143,9
"155","Informática","2020",131,125,6
"156","Informática","2021",109,103,6
"157","Informática","2022",109,101,8
"158","Informática","2023",133,125,8
"159","Informática","2024",99,95,4
"160","Informática","2025",119,107,12
"161","Medicina","2018",2241,1480,761
"162","Medicina","2019",2294,1483,811
"163","Medicina","2020",2810,1873,937
"164","Medicina","2021",3549,2270,1279
"165","Medicina","2022",3160,2040,1120
"166","Medicina","2023",2919,1891,1028
"167","Medicina","2024",2694,1740,954
"168","Medicina","2025",2873,1800,1073
"169","Odontología","2018",283,161,122
"170","Odontología","2019",366,221,145
"171","Odontología","2020",387,235,152
"172","Odontología","2021",454,289,165
"173","Odontología","2022",450,249,201
"174","Odontología","2023",425,258,167
"175","Odontología","2024",434,243,191
"176","Odontología","2025",486,277,209
"177","Psicología","2018",432,192,240
"178","Psicología","2019",429,236,193
"179","Psicología","2020",558,267,291
"180","Psicología","2021",663,338,325
"181","Psicología","2022",716,368,348
"182","Psicología","2023",582,301,281
"183","Psicología","2024",599,303,296
"184","Psicología","2025",621,312,309
"185","Trabajo Social","2018",121,45,76
"186","Trabajo Social","2019",116,57,59
"187","Trabajo Social","2020",136,62,74
"188","Trabajo Social","2021",137,55,82
"189","Trabajo Social","2022",196,79,117
"190","Trabajo Social","2023",187,62,125
"191","Trabajo Social","2024",194,86,108
"192","Trabajo Social","2025",201,91,110
"193","Veterinaria","2018",778,380,398
"194","Veterinaria","2019",899,482,417
"195","Veterinaria","2020",861,436,425
"196","Veterinaria","2021",945,459,486
"197","Veterinaria","2022",923,461,462
"198","Veterinaria","2023",1001,537,464
"199","Veterinaria","2024",999,529,470
"200","Veterinaria","2025",961,507,454
"201","Óptica y Optometría","2018",206,108,98
"202","Óptica y Optometría","2019",261,131,130
"203","Óptica y Optometría","2020",297,135,162
"204","Óptica y Optometría","2021",339,161,178
"205","Óptica y Optometría","2022",391,205,186
"206","Óptica y Optometría","2023",315,155,160
"207","Óptica y Optometría","2024",333,171,162
"208","Óptica y Optometría","2025",353,174,179
